Identifiant site ,Hôte,Essence,Genre,espèce,Taxon fonge,Croisement,Phylum,Famille,Sequencage
15,QP1-10,Quercus pubescens,Saitozyma,potzolica,Saitozyma potzolica,15 potzolica Saitozyma potzolica,Basidiomycète,Trimorphomycetaceae,a
14,CS5-9,Castanea sativa,Hydropus,pseudotenax,Hydropus pseudotenax,14 pseudotenax Hydropus pseudotenax,Basidiomycète,Marasmiaceae,a
7,CS1-10,Castanea sativa,Astraeus,pteridis,Astraeus pteridis,7 pteridis Astraeus pteridis,Basidiomycète,Tylosporaceae,a
7,CS1-3,Castanea sativa,Astraeus,pteridis,Astraeus pteridis,7 pteridis Astraeus pteridis,Basidiomycète,Tylosporaceae,a
7,CS1-4,Castanea sativa,Astraeus,pteridis,Astraeus pteridis,7 pteridis Astraeus pteridis,Basidiomycète,Tylosporaceae,b
14,CS7-13,Castanea sativa,Astraeus,pteridis,Astraeus pteridis,14 pteridis Astraeus pteridis,Basidiomycète,Tylosporaceae,b
14,CS7-14,Castanea sativa,Inocybe,pudica,Inocybe pudica,14 pudica Inocybe pudica,Basidiomycète,Inocybaceae,a
14,CS7-22,Castanea sativa,Inocybe,pudica,Inocybe pudica,14 pudica Inocybe pudica,Basidiomycète,Inocybaceae,b
14,CS7-4,Castanea sativa,Inocybe,pudica,Inocybe pudica,14 pudica Inocybe pudica,Basidiomycète,Inocybaceae,a
15,FS6-10,Fagus sylvatica,Piloderma,rallum,Piloderma rallum,15 rallum Piloderma rallum,Basidiomycète,Pilodermataceae,a
15,FS6-13,Fagus sylvatica,Piloderma,rallum,Piloderma rallum,15 rallum Piloderma rallum,Basidiomycète,Pilodermataceae,b
14,CS8-1,Castanea sativa,Russula,recondita,Russula recondita,14 recondita Russula recondita,Basidiomycète,Russulaceae,a
14,CS8-13,Castanea sativa,Russula,recondita,Russula recondita,14 recondita Russula recondita,Basidiomycète,Russulaceae,a
14,CS8-14,Castanea sativa,Russula,recondita,Russula recondita,14 recondita Russula recondita,Basidiomycète,Russulaceae,a
15,FS2-14,Fagus sylvatica,Russula,recondita,Russula recondita,15 recondita Russula recondita,Basidiomycète,Russulaceae,b
15,FS2-3,Fagus sylvatica,Russula,recondita,Russula recondita,15 recondita Russula recondita,Basidiomycète,Russulaceae,b
15,FS2-6,Fagus sylvatica,Russula,recondita,Russula recondita,15 recondita Russula recondita,Basidiomycète,Russulaceae,b
15,AU5-15,Arbutus unedo,Wilcoxina,rehmii,Wilcoxina rehmii,15 rehmii Wilcoxina rehmii,Ascomycète,Pyronemataceae,a
7,CS1-9,Castanea sativa,Wilcoxina,rehmii,Wilcoxina rehmii,7 rehmii Wilcoxina rehmii,Ascomycète,Pyronemataceae,a
15,PIN4S-2,Pinus spp.,Wilcoxina,rehmii,Wilcoxina rehmii,15 rehmii Wilcoxina rehmii,Ascomycète,Pyronemataceae,a
7,OC1,Ostrya carpinifolia,Russula,risigallina,Russula risigallina,7 risigallina Russula risigallina,Basidiomycète,Russulaceae,a
7,OC1-7,Ostrya carpinifolia,Russula,risigallina,Russula risigallina,7 risigallina Russula risigallina,Basidiomycète,Russulaceae,a
15,PIN1-7,Pinus spp.,Russula,risigallina,Russula risigallina,15 risigallina Russula risigallina,Basidiomycète,Russulaceae,a
15,QI2-13,Quercus ilex,Russula,risigallina,Russula risigallina,15 risigallina Russula risigallina,Basidiomycète,Russulaceae,a
7,AC2-3,Alnus cordata,Amanita,rubescens,Amanita rubescens,7 rubescens Amanita rubescens,Basidiomycète,Amanitaceae,a
7,CISTE2-3,Cistus salviifolius,Clavulina,rugosa,Clavulina rugosa,7 rugosa Clavulina rugosa,Basidiomycète,Clavulinaceae,a
7,CISTE2-5,Cistus salviifolius,Clavulina,rugosa,Clavulina rugosa,7 rugosa Clavulina rugosa,Basidiomycète,Clavulinaceae,a
14,CS1-9,Castanea sativa,Clavulina,rugosa,Clavulina rugosa,14 rugosa Clavulina rugosa,Basidiomycète,Clavulinaceae,b
14,AU1-10,Arbutus unedo,Russula,sanguinea,Russula sanguinea,14 sanguinea Russula sanguinea,Basidiomycète,Russulaceae,a
7,CS2-11,Castanea sativa,Russula,sanguinea,Russula sanguinea,7 sanguinea Russula sanguinea,Basidiomycète,Russulaceae,a
14,PIN1a-4,Pinus spp.,Russula,sanguinea,Russula sanguinea,14 sanguinea Russula sanguinea,Basidiomycète,Russulaceae,b
7,AU3-1,Arbutus unedo,Lactarius,serifluus,Lactarius serifluus,7 serifluus Lactarius serifluus,Basidiomycète,Russulaceae,b
7,AU3-2,Arbutus unedo,Lactarius,serifluus,Lactarius serifluus,7 serifluus Lactarius serifluus,Basidiomycète,Russulaceae,b
7,CS1-6,Castanea sativa,Lactarius,serifluus,Lactarius serifluus,7 serifluus Lactarius serifluus,Basidiomycète,Russulaceae,b
7,AC2-6,Alnus cordata,Talaromyces,sp,Talaromyces sp,7 sp Talaromyces sp,Ascomycète,Trichocomaceae,b
14,AU2-4,Arbutus unedo,Peniophora,sp,Peniophora sp,14 sp Peniophora sp,Basidiomycète,Peniophoraceae,b
14,AU2-5,Arbutus unedo,Peniophora,sp,Peniophora sp,14 sp Peniophora sp,Basidiomycète,Peniophoraceae,a
15,AU3-11,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
15,AU3-12,Arbutus unedo,Lachnum,sp,Lachnum sp,15 sp Lachnum sp,Basidiomycète,Hydnangiaceae,a
15,AU3-13,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
15,AU3-14,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
15,AU3-15,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
15,AU3-16,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
15,AU3-17,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
15,AU3-18,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
15,AU3-4,Arbutus unedo,Thelephora,sp,Thelephora sp,15 sp Thelephora sp,Basidiomycète,Thelephoraceae,a
7,AU3-5,Arbutus unedo,Auricularia,sp,Auricularia sp,7 sp Auricularia sp,Basidiomycète,Auriculariaceae,a
15,AU3-5,Arbutus unedo,Helotiales,sp,Helotiales sp,15 sp Helotiales sp,Ascomycète,Helotiales,a
14,AU3-6,Arbutus unedo,Lachnum,sp,Lachnum sp,14 sp Lachnum sp,Basidiomycète,Hydnangiaceae,a
15,AU3-8,Arbutus unedo,Helotiales,sp,Helotiales sp,15 sp Helotiales sp,Ascomycète,Helotiales,a
7,CISTE2-5,Cistus salviifolius,Phaeosphaeriae,sp,Phaeosphaeriae sp,7 sp Phaeosphaeriae sp,Ascomycète,Phaeospharia,a
14,CISTEX-11,Cistus salviifolius,Terfezia,sp,Terfezia sp,14 sp Terfezia sp,Ascomycète,Terfeziaceae,a
14,CISTEX-3,Cistus salviifolius,Terfezia,sp,Terfezia sp,14 sp Terfezia sp,Ascomycète,Terfeziaceae,a
14,CISTEX-4,Cistus salviifolius,Terfezia,sp,Terfezia sp,14 sp Terfezia sp,Ascomycète,Terfeziaceae,a
14,CISTEX-9,Cistus salviifolius,Terfezia,sp,Terfezia sp,14 sp Terfezia sp,Ascomycète,Terfeziaceae,a
15,CS1-10,Castanea sativa,Trichoderma,sp,Trichoderma sp,15 sp Trichoderma sp,Basidiomycète,Trechisporale,a
14,CS1-7,Castanea sativa,Exidia,sp,Exidia sp,14 sp Exidia sp,Basidiomycète,Exidiaceae,a
7,CS1-8,Castanea sativa,Trichophaea,sp,Trichophaea sp,7 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
7,CS2-10,Castanea sativa,Trichophaea,sp,Trichophaea sp,7 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
7,CS2-15,Castanea sativa,Trichophaea,sp,Trichophaea sp,7 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
15,CS2-6,Castanea sativa,Hyaloscyphaceae,sp,Hyaloscyphaceae sp,15 sp Hyaloscyphaceae sp,Ascomycète,Hyaloscyphaceae,a
7,CS2-8,Castanea sativa,Galactinia,sp,Galactinia sp,7 sp Galactinia sp,Ascomycète,Pezizaceae,a
7,CS2-9,Castanea sativa,Galactinia,sp,Galactinia sp,7 sp Galactinia sp,Ascomycète,Pezizaceae,a
14,CS3-8,Castanea sativa,Cladosporium,sp,Cladosporium sp,14 sp Cladosporium sp,Ascomycète,Cladosporiaceae,a
15,CS4-2,Castanea sativa,Tomentella,sp,Tomentella sp,15 sp Tomentella sp,Basidiomycète,Thelephoraceae,a
14,CS4-7,Castanea sativa,Lachnum,sp,Lachnum sp,14 sp Lachnum sp,Basidiomycète,Hydnangiaceae,a
7,CS5-8,Castanea sativa,Oidiodendron,sp,Oidiodendron sp,7 sp Oidiodendron sp,Ascomycète,Myxotrichaceae,a
7,CS6-7,Castanea sativa,Cortinarius,sp,Cortinarius sp,7 sp Cortinarius sp,Basidiomycète,Cortinariaceae,a
14,CS7-16,Castanea sativa,Tomentella,sp,Tomentella sp,14 sp Tomentella sp,Basidiomycète,Thelephoraceae,a
14,CS8-10,Castanea sativa,Trichophaea,sp,Trichophaea sp,14 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
14,CS8-12,Castanea sativa,Trichophaea,sp,Trichophaea sp,14 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
14,CS8-16,Castanea sativa,Neonectria,sp,Neonectria sp,14 sp Neonectria sp,Ascomycète,Nectriaceae,a
14,CS8-2,Castanea sativa,Trichophaea,sp,Trichophaea sp,14 sp Trichophaea sp,Ascomycète,Pyronemataceae,b
14,CS8-3,Castanea sativa,Helvellosebacina,sp,Helvellosebacina sp,14 sp Helvellosebacina sp,Basidiomycète,Sebacinaceae,a
14,CS8-4,Castanea sativa,Trichophaea,sp,Trichophaea sp,14 sp Trichophaea sp,Ascomycète,Pyronemataceae,b
14,CS8-5,Castanea sativa,Oliveonia,sp,Oliveonia sp,14 sp Oliveonia sp,Basidiomycète,Oliveoniaceae,a
14,CS8-6,Castanea sativa,Oliveonia,sp,Oliveonia sp,14 sp Oliveonia sp,Basidiomycète,Oliveoniaceae,a
14,CS8-7,Castanea sativa,Neonectria,sp,Neonectria sp,14 sp Neonectria sp,Ascomycète,Nectriaceae,a
14,CS8-8,Castanea sativa,Trichophaea,sp,Trichophaea sp,14 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
15,FS1-11,Fagus sylvatica,Trichophaea,sp,Trichophaea sp,15 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
15,FS1-12,Fagus sylvatica,Trichophaea,sp,Trichophaea sp,15 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
15,FS1-3,Fagus sylvatica,Trichophaea,sp,Trichophaea sp,15 sp Trichophaea sp,Ascomycète,Pyronemataceae,a
15,FS1-9,Fagus sylvatica,Trichophaea,sp,Trichophaea sp,15 sp Trichophaea sp,Ascomycète,Pyronemataceae,b
15,FS6-12,Fagus sylvatica,Galactinia,sp,Galactinia sp,15 sp Galactinia sp,Ascomycète,Pezizaceae,a
15,FS6-17,Fagus sylvatica,Pachyphlodes,sp,Pachyphlodes sp,15 sp Pachyphlodes sp,Ascomycète,Pezizaceae,a
15,FS6-8,Fagus sylvatica,Cenococcum,sp,Cenococcum sp,15 sp Cenococcum sp,Ascomycète,Dothydeomycetes,b
15,PIN1-8,Pinus spp.,Lachnum,sp,Lachnum sp,15 sp Lachnum sp,Basidiomycète,Hydnangiaceae,a
15,PIN2-8,Pinus spp.,Oidiodendron,sp,Oidiodendron sp,15 sp Oidiodendron sp,Ascomycète,Myxotrichaceae,a
14,PIN3-13,Pinus spp.,Byssocorticium,sp,Byssocorticium sp,14 sp Byssocorticium sp,Basidiomycète,Byssicorticiaceae,a
15,PIN4S-7,Pinus spp.,Atheliaceae,sp,Atheliaceae sp,15 sp Atheliaceae sp,Basidiomycète,Atheliaceae,a
15,PIN7-1,Pinus spp.,Venturia,sp,Venturia sp,15 sp Venturia sp,Ascomycète,Pyronemataceae,a
15,PIN7-3,Pinus spp.,Venturia,sp,Venturia sp,15 sp Venturia sp,Ascomycète,Pyronemataceae,a
15,PIN7-7,Pinus spp.,Hymenoscyphus,sp,Hymenoscyphus sp,15 sp Hymenoscyphus sp,Ascomycète,Helotiaceae,a
14,PINX-8,Pinus spp.,Geopora,sp,Geopora sp,14 sp Geopora sp,Ascomycète,Pyronemataceae,a
14,QI1-1,Quercus ilex,Cryptodiscus,sp,Cryptodiscus sp,14 sp Cryptodiscus sp,Ascomycète,Lecanorale,a
15,QI1-1,Quercus ilex,Oidiodendron,sp,Oidiodendron sp,15 sp Oidiodendron sp,Ascomycète,Myxotrichaceae,a
7,QI1-4,Quercus ilex,Cenococcum,sp,Cenococcum sp,7 sp Cenococcum sp,Ascomycète,Dothydeomycetes,a
15,QI2-3,Quercus ilex,Oidiodendron,sp,Oidiodendron sp,15 sp Oidiodendron sp,Ascomycète,Myxotrichaceae,a
15,QI2-7,Quercus ilex,Russula,sp,Russula sp,15 sp Russula sp,Basidiomycète,Russulaceae,a
7,QI4-3,Quercus ilex,Tomentella,sp,Tomentella sp,7 sp Tomentella sp,Basidiomycète,Thelephoraceae,b
15,QP2-5,Quercus pubescens,Inocybe,sp,Inocybe sp,15 sp Inocybe sp,Basidiomycète,Inocybaceae,a
14,QP3-10,Quercus pubescens,Nagrajchalara,sp,Nagrajchalara sp,14 sp Nagrajchalara sp,Ascomycète,Helotiales,a
15,QP3-5,Quercus pubescens,Genea,sp,Genea sp,15 sp Genea sp,Ascomycète,Pyronemataceae,a
14,QP3-6,Quercus pubescens,Pezizales,sp,Pezizales sp,14 sp Pezizales sp,Ascomycète,Pezizale,a
15,QP4-2,Quercus pubescens,Sebacina,sp,Sebacina sp,15 sp Sebacina sp,Basidiomycète,Sebacinaceae,a
15,QP7-5,Quercus pubescens,Pseudotomentella,sp,Pseudotomentella sp,15 sp Pseudotomentella sp,Basidiomycète,Thelephoraceae,a
15,QP7-6,Quercus pubescens,Simplicillium,sp,Simplicillium sp,15 sp Simplicillium sp,Basidiomycète,Cxordycipitaceae,a
7,AC2-2,Alnus cordata,Laccaria,sp1,Laccaria sp1,7 sp1 Laccaria sp1,Basidiomycète,Hydnangiaceae,a
7,AC2-4,Alnus cordata,Laccaria,sp1,Laccaria sp1,7 sp1 Laccaria sp1,Basidiomycète,Hydnangiaceae,a
14,AU3-2,Arbutus unedo,Amphinema,sp1,Amphinema sp1,14 sp1 Amphinema sp1,Basidiomycète,Tylosporaceae,a
14,AU3-5,Arbutus unedo,Amphinema,sp1,Amphinema sp1,14 sp1 Amphinema sp1,Basidiomycète,Tylosporaceae,a
14,AU3-7,Arbutus unedo,Amphinema,sp1,Amphinema sp1,14 sp1 Amphinema sp1,Basidiomycète,Tylosporaceae,a
7,AU3-8,Arbutus unedo,Tomentella,sp1,Tomentella sp1,7 sp1 Tomentella sp1,Basidiomycète,Thelephoraceae,a
7,CISTE2-2,Cistus salviifolius,Pyronemataceae,sp1,Pyronemataceae sp1,7 sp1 Pyronemataceae sp1,Ascomycète,Pyronemataceae,a
14,CISTEX-8,Cistus salviifolius,Tomentella,sp1,Tomentella sp1,14 sp1 Tomentella sp1,Basidiomycète,Thelephoraceae,a
7,CJ1-5,Castanea sativa,Cenococcum,sp1,Cenococcum sp1,7 sp1 Cenococcum sp1,Ascomycète,Dothydeomycetes,a
7,CJ1-8,Castanea sativa,Sistotrema,sp1,Sistotrema sp1,7 sp1 Sistotrema sp1,Basidiomycète,Hydnaceae,a
15,CS1-1,Castanea sativa,Sebacina,sp1,Sebacina sp1,15 sp1 Sebacina sp1,Basidiomycète,Sebacinaceae,a
15,CS1-11,Castanea sativa,Sebacina,sp1,Sebacina sp1,15 sp1 Sebacina sp1,Basidiomycète,Sebacinaceae,a
15,CS1-2,Castanea sativa,Sebacina,sp1,Sebacina sp1,15 sp1 Sebacina sp1,Basidiomycète,Sebacinaceae,b
15,CS1-7,Castanea sativa,Sebacina,sp1,Sebacina sp1,15 sp1 Sebacina sp1,Basidiomycète,Sebacinaceae,a
15,CS1-9,Castanea sativa,Sebacina,sp1,Sebacina sp1,15 sp1 Sebacina sp1,Basidiomycète,Sebacinaceae,b
15,CS2-4,Castanea sativa,Amphinema,sp1,Amphinema sp1,15 sp1 Amphinema sp1,Basidiomycète,Tylosporaceae,a
7,CS3-1,Castanea sativa,Amphinema,sp1,Amphinema sp1,7 sp1 Amphinema sp1,Basidiomycète,Tylosporaceae,a
15,CS3-9,Castanea sativa,Sebacina,sp1,Sebacina sp1,15 sp1 Sebacina sp1,Basidiomycète,Sebacinaceae,a
7,CS4-10,Castanea sativa,Cenococcum,sp1,Cenococcum sp1,7 sp1 Cenococcum sp1,Ascomycète,Dothydeomycetes,a
15,CS4-7,Castanea sativa,Helotiales,sp1,Helotiales sp1,15 sp1 Helotiales sp1,Ascomycète,Helotiales,a
7,CS5-14,Castanea sativa,Sistotrema,sp1,Sistotrema sp1,7 sp1 Sistotrema sp1,Basidiomycète,Hydnaceae,b
7,CS5-4,Castanea sativa,Sistotrema,sp1,Sistotrema sp1,7 sp1 Sistotrema sp1,Basidiomycète,Hydnaceae,a
7,CS5-5,Castanea sativa,Sistotrema,sp1,Sistotrema sp1,7 sp1 Sistotrema sp1,Basidiomycète,Hydnaceae,a
7,CS5-6,Castanea sativa,Sistotrema,sp1,Sistotrema sp1,7 sp1 Sistotrema sp1,Basidiomycète,Hydnaceae,a
7,CS6-1,Castanea sativa,Cenococcum,sp1,Cenococcum sp1,7 sp1 Cenococcum sp1,Ascomycète,Dothydeomycetes,b
7,CS6-8,Castanea sativa,Oidiodendron,sp1,Oidiodendron sp1,7 sp1 Oidiodendron sp1,Ascomycète,Myxotrichaceae,a
14,CS7-10,Castanea sativa,Laccaria,sp1,Laccaria sp1,14 sp1 Laccaria sp1,Basidiomycète,Hydnangiaceae,a
14,CS7-15,Castanea sativa,Laccaria,sp1,Laccaria sp1,14 sp1 Laccaria sp1,Basidiomycète,Hydnangiaceae,a
15,CS7-2,Castanea sativa,Piloderma,sp1,Piloderma sp1,15 sp1 Piloderma sp1,Basidiomycète,Pilodermataceae,a
14,CS7-21,Castanea sativa,Laccaria,sp1,Laccaria sp1,14 sp1 Laccaria sp1,Basidiomycète,Hydnangiaceae,a
14,CS7-5,Castanea sativa,Laccaria,sp1,Laccaria sp1,14 sp1 Laccaria sp1,Basidiomycète,Hydnangiaceae,a
14,CS7-8,Castanea sativa,Laccaria,sp1,Laccaria sp1,14 sp1 Laccaria sp1,Basidiomycète,Hydnangiaceae,a
7,OC2-3,Ostrya carpinifolia,Mortierella,sp1,Mortierella sp1,7 sp1 Mortierella sp1,Mucoromycète,Mortierellaceae,a
14,PIN3-11,Pinus spp.,Trechisporales,sp1,Trechisporales sp1,14 sp1 Trechisporales sp1,Basidiomycète,Trechisporale,a
15,QI2-4,Quercus ilex,Sebacina,sp1,Sebacina sp1,15 sp1 Sebacina sp1,Basidiomycète,Sebacinaceae,a
14,QI2-8,Quercus ilex,Talaromyces,sp1,Talaromyces sp1,14 sp1 Talaromyces sp1,Ascomycète,Trichocomaceae,a
14,QI3-13,Quercus ilex,Oidiodendron,sp1,Oidiodendron sp1,14 sp1 Oidiodendron sp1,Ascomycète,Myxotrichaceae,a
7,QI4-1,Quercus ilex,Mortierella,sp1,Mortierella sp1,7 sp1 Mortierella sp1,Mucoromycète,Mortierellaceae,b
15,QP1-3,Quercus pubescens,Sistotrema,sp1,Sistotrema sp1,15 sp1 Sistotrema sp1,Basidiomycète,Hydnaceae,a
7,QP2-1,Quercus pubescens,Tomentella,sp1,Tomentella sp1,7 sp1 Tomentella sp1,Basidiomycète,Thelephoraceae,a
7,QP2-2,Quercus pubescens,Tomentella,sp1,Tomentella sp1,7 sp1 Tomentella sp1,Basidiomycète,Thelephoraceae,a
7,QP2-3,Quercus pubescens,Tomentella,sp1,Tomentella sp1,7 sp1 Tomentella sp1,Basidiomycète,Thelephoraceae,a
7,QP2-4,Quercus pubescens,Tomentella,sp1,Tomentella sp1,7 sp1 Tomentella sp1,Basidiomycète,Thelephoraceae,b
7,QP2-5,Quercus pubescens,Tomentella,sp1,Tomentella sp1,7 sp1 Tomentella sp1,Basidiomycète,Thelephoraceae,a
15,QP4-13,Quercus pubescens,Helotiales,sp1,Helotiales sp1,15 sp1 Helotiales sp1,Ascomycète,Helotiales,b
15,CS3-5,Castanea sativa,Tomentella,sp10,Tomentella sp10,15 sp10 Tomentella sp10,Basidiomycète,Thelephoraceae,a
14,CS5-12,Castanea sativa,Tomentella,sp10,Tomentella sp10,14 sp10 Tomentella sp10,Basidiomycète,Thelephoraceae,a
15,CS5-2,Castanea sativa,Tomentella,sp10,Tomentella sp10,15 sp10 Tomentella sp10,Basidiomycète,Thelephoraceae,a
7,QI4-5,Quercus ilex,Tomentella,sp11,Tomentella sp11,7 sp11 Tomentella sp11,Basidiomycète,Thelephoraceae,a
15,QP7-12,Quercus pubescens,Tomentella,sp12,Tomentella sp12,15 sp12 Tomentella sp12,Basidiomycète,Thelephoraceae,a
15,QP7-13,Quercus pubescens,Tomentella,sp12,Tomentella sp12,15 sp12 Tomentella sp12,Basidiomycète,Thelephoraceae,a
15,QP7-14,Quercus pubescens,Tomentella,sp12,Tomentella sp12,15 sp12 Tomentella sp12,Basidiomycète,Thelephoraceae,a
7,OC1-1,Ostrya carpinifolia,Tomentella,sp13,Tomentella sp13,7 sp13 Tomentella sp13,Basidiomycète,Thelephoraceae,a
7,OC1-6,Ostrya carpinifolia,Tomentella,sp13,Tomentella sp13,7 sp13 Tomentella sp13,Basidiomycète,Thelephoraceae,b
7,OC1-9,Ostrya carpinifolia,Tomentella,sp13,Tomentella sp13,7 sp13 Tomentella sp13,Basidiomycète,Thelephoraceae,a
15,QP3-10,Quercus pubescens,Tomentella,sp13,Tomentella sp13,15 sp13 Tomentella sp13,Basidiomycète,Thelephoraceae,a
15,QP3-3,Quercus pubescens,Tomentella,sp13,Tomentella sp13,15 sp13 Tomentella sp13,Basidiomycète,Thelephoraceae,a
14,QP3-4,Quercus pubescens,Tomentella,sp13,Tomentella sp13,14 sp13 Tomentella sp13,Basidiomycète,Thelephoraceae,a
15,QP4-10,Quercus pubescens,Tomentella,sp13,Tomentella sp13,15 sp13 Tomentella sp13,Basidiomycète,Thelephoraceae,a
7,CS5-10,Castanea sativa,Tomentella,sp14,Tomentella sp14,7 sp14 Tomentella sp14,Basidiomycète,Thelephoraceae,a
15,QI1-2,Quercus ilex,Tomentella,sp14,Tomentella sp14,15 sp14 Tomentella sp14,Basidiomycète,Thelephoraceae,a
7,CS3-2,Castanea sativa,Tomentella,sp17,Tomentella sp17,7 sp17 Tomentella sp17,Basidiomycète,Thelephoraceae,a
7,CS3-3,Castanea sativa,Tomentella,sp17,Tomentella sp17,7 sp17 Tomentella sp17,Basidiomycète,Thelephoraceae,b
7,CS3-4,Castanea sativa,Tomentella,sp17,Tomentella sp17,7 sp17 Tomentella sp17,Basidiomycète,Thelephoraceae,b
7,QI1-3,Quercus ilex,Tomentella,sp17,Tomentella sp17,7 sp17 Tomentella sp17,Basidiomycète,Thelephoraceae,b
15,QI6-4,Quercus ilex,Tomentella,sp18,Tomentella sp18,15 sp18 Tomentella sp18,Basidiomycète,Thelephoraceae,a
7,CS4-12,Castanea sativa,Tomentella,sp19,Tomentella sp19,7 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
7,CS4-5,Castanea sativa,Tomentella,sp19,Tomentella sp19,7 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
15,CS7-7,Castanea sativa,Tomentella,sp19,Tomentella sp19,15 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
15,CS7-8,Castanea sativa,Tomentella,sp19,Tomentella sp19,15 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
15,FS6-11,Fagus sylvatica,Tomentella,sp19,Tomentella sp19,15 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
15,FS6-4,Fagus sylvatica,Tomentella,sp19,Tomentella sp19,15 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
15,QP2-3,Quercus pubescens,Tomentella,sp19,Tomentella sp19,15 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
15,QP2-6,Quercus pubescens,Tomentella,sp19,Tomentella sp19,15 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,b
15,QP2-9,Quercus pubescens,Tomentella,sp19,Tomentella sp19,15 sp19 Tomentella sp19,Basidiomycète,Thelephoraceae,a
7,AC1-1,Alnus cordata,Oidiodendron,sp2,Oidiodendron sp2,7 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,a
7,AC1-5,Alnus cordata,Oidiodendron,sp2,Oidiodendron sp2,7 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,a
7,AC1-9,Alnus cordata,Talaromyces,sp2,Talaromyces sp2,7 sp2 Talaromyces sp2,Ascomycète,Trichocomaceae,a
7,AC2-10,Alnus cordata,Oidiodendron,sp2,Oidiodendron sp2,7 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,b
7,AC2-5,Alnus cordata,Oidiodendron,sp2,Oidiodendron sp2,7 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,b
7,AC2-9,Alnus cordata,Sistotrema,sp2,Sistotrema sp2,7 sp2 Sistotrema sp2,Basidiomycète,Hydnaceae,a
7,AU1-10,Arbutus unedo,Helotiales,sp2,Helotiales sp2,7 sp2 Helotiales sp2,Ascomycète,Helotiales,a
7,AU1-11,Arbutus unedo,Laccaria,sp2,Laccaria sp2,7 sp2 Laccaria sp2,Basidiomycète,Hydnangiaceae,a
15,AU1-3,Arbutus unedo,Oidiodendron,sp2,Oidiodendron sp2,15 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,b
7,AU1-6,Arbutus unedo,Oidiodendron,sp2,Oidiodendron sp2,7 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,a
15,AU2-5,Arbutus unedo,Oidiodendron,sp2,Oidiodendron sp2,15 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,a
7,AU3-7,Arbutus unedo,Oidiodendron,sp2,Oidiodendron sp2,7 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,a
7,CISTE2-1,Cistus salviifolius,Laccaria,sp2,Laccaria sp2,7 sp2 Laccaria sp2,Basidiomycète,Hydnangiaceae,a
7,CISTE2-6,Cistus salviifolius,Oidiodendron,sp2,Oidiodendron sp2,7 sp2 Oidiodendron sp2,Ascomycète,Myxotrichaceae,a
7,CISTE2-7,Cistus salviifolius,Pyronemataceae,sp2,Pyronemataceae sp2,7 sp2 Pyronemataceae sp2,Ascomycète,Pyronemataceae,a
7,CISTE2-8,Cistus salviifolius,Laccaria,sp2,Laccaria sp2,7 sp2 Laccaria sp2,Basidiomycète,Hydnangiaceae,a
7,CISTE2-9,Cistus salviifolius,Laccaria,sp2,Laccaria sp2,7 sp2 Laccaria sp2,Basidiomycète,Hydnangiaceae,a
7,CS1-1,Castanea sativa,Laccaria,sp2,Laccaria sp2,7 sp2 Laccaria sp2,Basidiomycète,Hydnangiaceae,a
15,CS1-3,Castanea sativa,Trechisporales,sp2,Trechisporales sp2,15 sp2 Trechisporales sp2,Basidiomycète,Trechisporale,a
